Description	
Number of Runs	61
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	0
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	0	0	30	01/27/23 04:26:00 PM	
2	20	0	30	01/27/23 04:26:31 PM	
3	40	0	30	01/27/23 04:27:01 PM	
4	60	0	30	01/27/23 04:27:31 PM	
5	80	0	30	01/27/23 04:28:01 PM	
6	100	0	30	01/27/23 04:28:32 PM	
7	120	0	30	01/27/23 04:29:02 PM	
8	140	0	30	01/27/23 04:29:33 PM	
9	160	0	30	01/27/23 04:30:03 PM	
10	180	0	30	01/27/23 04:30:33 PM	
11	200	0	30	01/27/23 04:31:04 PM	
12	220	0	30	01/27/23 04:31:34 PM	
13	240	0	30	01/27/23 04:32:04 PM	
14	260	0	30	01/27/23 04:32:35 PM	
15	280	0	30	01/27/23 04:33:05 PM	
16	300	0	30	01/27/23 04:33:35 PM	
17	320	0	30	01/27/23 04:34:06 PM	
18	340	0	30	01/27/23 04:34:36 PM	
19	360	0	30	01/27/23 04:35:06 PM	
20	380	0	30	01/27/23 04:35:37 PM	
21	400	0	30	01/27/23 04:36:07 PM	
22	420	0	30	01/27/23 04:36:37 PM	
23	440	0	30	01/27/23 04:37:08 PM	
24	460	0	30	01/27/23 04:37:38 PM	
25	480	0	30	01/27/23 04:38:08 PM	
26	500	0	30	01/27/23 04:38:38 PM	
27	520	0	30	01/27/23 04:39:09 PM	
28	540	3	30	01/27/23 04:39:39 PM	
29	560	9	30	01/27/23 04:40:09 PM	
30	580	2	30	01/27/23 04:40:40 PM	
31	600	10	30	01/27/23 04:41:10 PM	
32	620	15	30	01/27/23 04:41:40 PM	
33	640	30	30	01/27/23 04:42:11 PM	
34	660	9	30	01/27/23 04:42:41 PM	
35	680	124	30	01/27/23 04:43:11 PM	
36	700	231	30	01/27/23 04:43:42 PM	
37	720	383	30	01/27/23 04:44:12 PM	
38	740	400	30	01/27/23 04:44:42 PM	
39	760	408	30	01/27/23 04:45:13 PM	
40	780	426	30	01/27/23 04:45:43 PM	
41	800	394	30	01/27/23 04:46:14 PM	
42	820	398	30	01/27/23 04:46:44 PM	
43	840	424	30	01/27/23 04:47:14 PM	
44	860	397	30	01/27/23 04:47:45 PM	
45	880	455	30	01/27/23 04:48:15 PM	
46	900	460	30	01/27/23 04:48:45 PM	
47	920	414	30	01/27/23 04:49:16 PM	
48	940	437	30	01/27/23 04:49:46 PM	
49	960	439	30	01/27/23 04:50:16 PM	
50	980	431	30	01/27/23 04:50:47 PM	
51	1000	469	30	01/27/23 04:51:17 PM	
52	1020	418	30	01/27/23 04:51:48 PM	
53	1040	511	30	01/27/23 04:52:18 PM	
54	1060	449	30	01/27/23 04:52:48 PM	
55	1080	497	30	01/27/23 04:53:19 PM	
56	1100	509	30	01/27/23 04:53:49 PM	
57	1120	509	30	01/27/23 04:54:19 PM	
58	1140	498	30	01/27/23 04:54:49 PM	
59	1160	492	30	01/27/23 04:55:20 PM	
60	1180	505	30	01/27/23 04:55:50 PM	
61	1200	528	30	01/27/23 04:56:20 PM	
